film,category,worldwide gross ($m),% budget recovered,critics % score,audience % score,audience vs critics % deviance,budget,domestic gross ($m),international gross ($m),opening weekend ($m),second weekend ($m),1st vs 2nd weekend drop off,% gross from opening weekend,% gross from domestic,% gross from international,% budget opening weekend,year
Ant-Man  ,Ant-Man,518,398%,83%,85%,-2%,130,180,338,57,24,-58%,31.8,34.7%,65.3%,43.8%,2015
Ant-Man & The Wasp,Ant-Man,623,479%,87%,80%,7%,130,216,406,75.8,29,-62%,35,34.7%,65.2%,58.3%,2018
Avengers: Age of Ultron,Avengers,1395,382%,76%,82%,-6%,365,459,936,191,77,-60%,41.7,32.9%,67.1%,52.3%,2015
Avengers: End Game,Avengers,2797,699%,94%,90%,4%,400,858,1939,357,147,-59%,41.6,30.7%,69.3%,89.3%,2019
Avengers: Infinity War,Avengers,2048,683%,85%,91%,-6%,300,678,1369,257,114,-56%,38,33.1%,66.8%,85.7%,2018
Black Panther,Black Panther,1336,668%,96%,79%,17%,200,700,636,202,111,-45%,28.9,52.4%,47.6%,101.0%,2018
Black Panther 2,Black Panther,855,342%,84%,94%,-10%,250,453,401,181,66,-64%,48.6,53.0%,46.9%,72.4%,2022
Black Widow,Unique,379,190%,79%,80%,-1%,200,183,196,80.3,25.8,-68%,43.8,48.3%,51.7%,40.2%,2021
Captain America,Captain America,370,264%,79%,75%,4%,140,176,193,65,25,-62%,36.8,47.6%,52.2%,46.4%,2011
Captain America: Civil War,Captain America,1151,460%,90%,89%,1%,250,408,743,179,72.6,-59%,43.9,35.4%,64.6%,71.6%,2016
Captain America: Winter Soldier,Captain America,714,420%,90%,92%,-2%,170,259,454,95,41,-57%,36.6,36.3%,63.6%,55.9%,2014
Captain Marvel,Unique,1129,645%,79%,45%,34%,175,426,702,153,67.9,-56%,35.9,37.7%,62.2%,87.4%,2019
Dr Strange,Dr Strange,676,410%,89%,86%,3%,165,232,443,85,42.9,-50%,36.6,34.3%,65.5%,51.5%,2016
Dr Strange: Multiverse of Madness,Dr Strange,952,476%,74%,77%,-3%,200,411,540,187,61.7,-67%,45.6,43.2%,56.7%,93.5%,2022
Eternals,Unique,402,201%,47%,73%,-26%,200,164,237,71,26.8,-62%,43.2,40.8%,59.0%,35.5%,2021
Guardians of the Galaxy,Guardians,770,453%,92%,92%,0%,170,333,437,94,42.1,-55%,43.3,43.2%,56.8%,55.3%,2014
Guardians of the Galaxy 2,Guardians,869,435%,85%,87%,-2%,200,389,479,146,65,-55%,37.6,44.8%,55.1%,73.0%,2017
Incredible Hulk,Unique,265,193%,67%,69%,-2%,137.5,134,130,55,22.1,-60%,41.1,50.6%,49.1%,40.0%,2008
Iron Man,Iron Man,585,315%,94%,91%,3%,186,318,266,102,51.2,-50%,32.1,54.4%,45.5%,54.8%,2008
Iron Man 2,Iron Man,621,365%,71%,71%,0%,170,312,308,128,52,-59%,41,50.2%,49.6%,75.3%,2010
Iron Man 3,Iron Man,1215,608%,79%,78%,1%,200,408,806,174,72.5,-58%,42.6,33.6%,66.3%,87.0%,2013
Shang-Chi,Unique,432,288%,91%,93%,-2%,150,224,207,75,34.7,-54%,33.6,51.9%,47.9%,50.0%,2021
Spider-Man: Far from Home,Spider-Man,1132,708%,90%,93%,-3%,160,390,741,93,45.3,-51%,23.7,34.5%,65.5%,58.1%,2019
Spider-Man: Homecoming,Spider-Man,878,502%,92%,87%,5%,175,334,544,117,44,-62%,35,38.0%,62.0%,66.9%,2017
Spider-Man: No Way Home,Spider-Man,1911,956%,93%,96%,-3%,200,814,1097,260,84,-68%,32,42.6%,57.4%,130.0%,2021
The Avengers,Avengers,1515,673%,91%,91%,0%,225,623,891,207,103,-50%,33.3,41.1%,58.8%,92.0%,2012
Thor: Dark World,Thor,644,429%,66%,75%,-9%,150,206,438,85,36.5,-57%,41.5,32.0%,68.0%,56.7%,2013
Thor: Love & Thunder,Thor,745,298%,64%,63%,1%,250,343,403,144,46.6,-68%,42,46.0%,54.1%,57.6%,2022
Thor: Ragnarok,Thor,850,472%,93%,87%,6%,180,315,535,122,57,-53%,39,37.1%,62.9%,67.8%,2017
Thor,Thor,449,299%,77%,76%,1%,150,181,268,65,34,-48%,36.3,40.3%,59.7%,43.3%,2011